Year,Birth_year,City,SBD,maths,Literature,Physics,Chemistry,Biology,Eng
2018,2000,Da Nang,4004790,2.6,4.25,6.5,6.25,5.5,2.2
2018,2000,Da Nang,4004815,5.2,4.5,3.25,3.75,5.25,1.6
2018,2000,Da Nang,4004773,6.6,5.25,2,3,3,4.4
2018,2000,Da Nang,4004788,6.2,5.75,2.25,2,4,3.4
2018,2000,Da Nang,4005330,2.2,1.75,4.75,5,4.5,2.8
2018,2000,Da Nang,4005348,5.2,7,5.75,5.25,3.5,5.6
2018,2000,Da Nang,4005367,3.4,5.75,7.25,5.75,4.5,3.2
2018,2000,Da Nang,4005381,3.6,3,,,,4.2
2018,2000,Da Nang,4010023,4.8,4,,,,4.8
2018,2000,Da Nang,4010026,4.6,3.25,,,,3
2018,2000,Da Nang,4010032,6.2,4.5,,,,5.8
2018,2000,Da Nang,4010037,5.6,7,5,4.5,4.5,4.6
2018,2000,Da Nang,4010041,6.2,5.75,4.75,2,3,5
2018,2000,Da Nang,4010044,6,6,4.75,6.25,4.25,5
2018,2000,Da Nang,4010055,5.8,5,4.5,4.5,5.25,3.6
2018,2000,Da Nang,4010061,4.2,3.75,5.5,6,3.5,6.2
2018,2000,Da Nang,4010068,7,3.75,6,6.75,4.75,4
2018,2000,Da Nang,4010073,6.6,3.5,5.5,5,3.75,4.2
2018,2000,Da Nang,4010074,6.8,4,3.75,4.25,2.5,4
2018,2000,Da Nang,4010075,7.4,3.25,5.25,6.25,5.25,2.4
2018,2000,Da Nang,4010081,6.2,4.5,2.75,7,6.75,4.6
2018,2000,Da Nang,4010086,5.4,5.75,6.25,7.5,3,5.2
2018,2000,Da Nang,4004623,7.6,4.25,6.25,6.75,1.5,4.6
2018,2000,Da Nang,4004630,5.4,5.5,5.5,5,4.25,2.8
2018,2000,Da Nang,4005001,5.8,6.25,6,5.5,5,3.4
2018,2000,Da Nang,4005006,5.6,7,5.5,5.5,3.5,5
2018,2000,Da Nang,4005015,4,5.25,,,,3.6
2018,2000,Da Nang,4005036,4,5.5,,,,2.8
2018,2000,Da Nang,4005056,3.8,4.25,,,,3.2
2018,2000,Da Nang,4005058,4,5,,,,3
2018,2000,Da Nang,4005061,4.6,4.25,,,,2.6
2018,2000,Da Nang,4005045,2.2,4.25,,,,2.6
2018,2000,Da Nang,4005049,4,5,,,,2.8
2018,2000,Da Nang,4005053,3.6,5.25,,,,2.8
2018,2000,Da Nang,4005062,2.4,4.25,,,,2.6
2018,2000,Da Nang,4005064,1.8,2.5,,,,3.2
2018,2000,Da Nang,4005066,3.6,4.5,,,,3.4
2018,2000,Da Nang,4005069,3.2,3.75,,,,2.6
2018,2000,Da Nang,4005071,2.8,3.25,,,,3.4
